Paris,Eiffel Tower
New York,Statue of Liberty
London,Big Ben
Rome,Colosseum
Beijing,Great Wall of China
Cairo,Great Sphinx of Giza
Tokyo,Tokyo Tower
Sydney,Sydney Opera House
Moscow,Red Square
Rio de Janeiro,Christ the Redeemer
Los Angeles,Hollywood Sign
Toronto,CN Tower
Istanbul,Hagia Sophia
Bangkok,Grand Palace
San Francisco,Golden Gate Bridge
Berlin,Brandenburg Gate
Delhi,Qutub Minar
Athens,Parthenon
Dubai,Burj Khalifa
Mexico City,Palacio de Bellas Artes
Chicago,Willis Tower
Barcelona,Sagrada Familia
Amsterdam,Anne Frank House
Vienna,Schönbrunn Palace
Lisbon,Belem Tower
Prague,Charles Bridge
Seoul,Gyeongbokgung Palace
Budapest,Fisherman's Bastion
Hanoi,Hoan Kiem Lake
Warsaw,Royal Castle
Brussels,Atomium
Stockholm,City Hall
Oslo,Vigeland Park
Copenhagen,The Little Mermaid
Helsinki,Helsinki Cathedral
Dublin,Trinity College
Munich,Marienplatz
Zurich,Old Town
Venice,St. Mark's Basilica
Florence,Duomo
Naples,Pompeii
Valencia,City of Arts and Sciences
Seville,Plaza de España
Granada,Alhambra
Nice,Promenade des Anglais
Lyon,Basilica of Notre-Dame de Fourvière
Milan,Duomo di Milano
Porto,Dom Luís I Bridge
Krakow,Wawel Castle
Edinburgh,Edinburgh Castle
Glasgow,Kelvingrove Art Gallery
Birmingham,Library of Birmingham
Cardiff,Cardiff Castle
Manchester,Old Trafford
Leeds,Royal Armouries Museum
Bristol,Clifton Suspension Bridge
Liverpool,The Beatles Story
Nottingham,Nottingham Castle
Sheffield,Sheffield Winter Garden
Newcastle,Grey Street
Aberdeen,Marischal College
Perth,Scone Palace
Inverness,Loch Ness
Stirling,Stirling Castle
Cambridge,King's College Chapel
Oxford,Radcliffe Camera
Canterbury,Canterbury Cathedral
York,York Minster
Bath,Roman Baths
Winchester,Winchester Cathedral
Exeter,Exeter Cathedral
Chester,Chester City Walls
Durham,Durham Cathedral
Truro,Truro Cathedral
Norwich,Norwich Castle
Lichfield,Lichfield Cathedral
Lincoln,Lincoln Cathedral
Peterborough,Peterborough Cathedral
Worcester,Worcester Cathedral
Salisbury,Stonehenge
Plymouth,Mayflower Steps
Southampton,Tudor House Museum
Portsmouth,HMS Victory
Brighton,Royal Pavilion
Reading,Forbury Gardens
Slough,Langley Park
Watford,Cassiobury Park
St Albans,St Albans Cathedral
Chelmsford,Hylands House
Colchester,Colchester Castle
Ipswich,Christchurch Mansion
Cambridge,The Backs
Ely,Ely Cathedral
Bury St Edmunds,Abbey Gardens
King's Lynn,Custom House
Norwich,Elm Hill
Lowestoft,Ness Point
Great Yarmouth,Time and Tide Museum
